SA2_NAME16,Population
Hamilton (Vic.),10218
Portland,11171
Southern Grampians,6231
Camperdown,3453
Colac,12621
Colac Region,5610
Corangamite - North,5347
Corangamite - South,7140
Otway,3972
Moyne - East,7043
Moyne - West,10094
Warrnambool - North,22575
Warrnambool - South,13315
Alexandra Hills,16861
Belmont - Gumdale,7685
Birkdale,15521
Capalaba,18675
Thorneside,3940
Wellington Point,12031
Cleveland,16149
Ormiston,6606
Redland Bay,18519
Sheldon - Mount Cotton,8536
Thornlands,20255
Victoria Point,15358
North Stradbroke Island,2217
Southern Moreton Bay Islands,9064
Brisbane Port - Lytton,10
Manly - Lota,7990
Manly West,12026
Murarrie,4927
Tingalpa,8997
Wakerley,9652
Wynnum,14819
Wynnum West - Hemmant,16169
Bald Hills,8069
Bridgeman Downs,11021
Carseldine,10002
Everton Park,10402
McDowall,8214
Aspley,13182
Chermside,11894
Chermside West,6764
Geebung,4593
Kedron - Gordon Park,14814
Stafford,7081
Stafford Heights,7241
Wavell Heights,10596
Boondall,9879
Brisbane Airport,131
Eagle Farm - Pinkenba,2300
Northgate - Virginia,7245
Nudgee - Banyo,11172
Nundah,13733
Bracken Ridge,17896
Brighton (Qld),9850
Deagon,3838
Sandgate - Shorncliffe,6915
Taigum - Fitzgibbon,14444
Zillmere,9520
Camp Hill,12483
Cannon Hill,7223
Carina,12099
Carina Heights,7061
Carindale,16782
Annerley,12387
Coorparoo,18234
Fairfield - Dutton Park,5168
Greenslopes,10890
Holland Park,9043
Holland Park West,6530
Woolloongabba,9204
Yeronga,10480
Eight Mile Plains,15684
Macgregor (Qld),6162
Mansfield (Qld),8993
Mount Gravatt,16342
Rochedale - Burbank,11843
Upper Mount Gravatt,11384
Wishart,11590
Coopers Plains,5891
Moorooka,11076
Robertson,5000
Salisbury - Nathan,7732
Tarragindi,11136
Algester,9344
Calamvale - Stretton,23637
Pallara - Willawong,12347
Parkinson - Drewvale,16507
Rocklea - Acacia Ridge,9818
Kuraby,9130
Runcorn,14386
Sunnybank,9312
Sunnybank Hills,18554
Jindalee - Mount Ommaney,7685
Middle Park - Jamboree Heights,7167
Riverhills,4171
Seventeen Mile Rocks - Sinnamon Park,9804
Westlake,4455
Bellbowrie - Moggill,10704
Brookfield - Kenmore Hills,7133
Chapel Hill,10852
Fig Tree Pocket,4462
Kenmore,9621
Pinjarra Hills - Pullenvale,5804
Chelmer - Graceville,7922
Corinda,5386
Indooroopilly,13913
Sherwood,6572
St Lucia,12903
Taringa,9338
Enoggera,9293
Enoggera Reservoir,33
Keperra,7509
Mitchelton,9125
Mount Coot-tha,0
The Gap,17419
Upper Kedron - Ferny Grove,12055
Brisbane City,14412
Fortitude Valley,10335
Highgate Hill,6626
Kangaroo Point,10526
New Farm,12837
South Brisbane,15440
Spring Hill,7516
West End,15943
Balmoral,4654
Bulimba,7570
East Brisbane,6344
Hawthorne,5292
Morningside - Seven Hills,14894
Norman Park,6987
Albion,4545
Alderley,6838
Ascot,5960
Clayfield,11021
Grange,4749
Hamilton (Qld),6927
Hendra,5035
Kelvin Grove - Herston,10775
Newmarket,5211
Newstead - Bowen Hills,19290
Wilston,4043
Windsor,8260
Wooloowin - Lutwyche,11416
Ashgrove,14101
Auchenflower,5793
Bardon,10609
Paddington - Milton,12511
Red Hill (Qld),6194
Toowong,12863
Brinsmead,5649
Clifton Beach - Kewarra Beach,12135
Freshwater - Stratford,3768
Redlynch,14193
Trinity Beach - Smithfield,17901
Yorkeys Knob - Machans Beach,6260
Bentley Park,8728
Cairns City,12887
Earlville - Bayview Heights,8569
Edmonton,11836
Gordonvale - Trinity,10338
Kanimbla - Mooroobool,10155
Lamb Range,6
Manoora,6307
Manunda,5278
Mount Sheridan,8904
Westcourt - Bungalow,6604
White Rock,5053
Whitfield - Edge Hill,8473
Woree,5189
Babinda,4652
Innisfail,9346
Johnstone,8098
Tully,11243
Wooroonooran,3
Yarrabah,2619
Daintree,6836
Port Douglas,5733
Atherton,11932
Herberton,5612
Kuranda,4924
Malanda - Yungaburra,9264
Mareeba,12154
Balonne,4353
Chinchilla,8932
Goondiwindi,6304
Inglewood - Waggamba,4098
Miles - Wandoan,4246
Roma,7011
Roma Surrounds,6089
Tara,3930
Crows Nest - Rosalie,9400
Jondaryan,7786
Millmerran,3252
Pittsworth,5848
Wambo,17416
Clifton - Greenmount,5206
Southern Downs - East,4437
Southern Downs - West,5088
Stanthorpe,5363
Stanthorpe Surrounds,6361
Warwick,15892
Central Highlands - East,7369
Central Highlands - West,7599
Emerald,14621
Berserker,7167
Bouldercombe,1962
Emu Park,5940
Frenchville - Mount Archer,9234
Glenlee - Rockyview,5454
Gracemere,12789
Lakes Creek,4962
Mount Morgan,2987
Norman Gardens,10928
Park Avenue,5364
Parkhurst - Kawana,7732
Rockhampton - West,5958
Rockhampton City,3408
Rockhampton Surrounds - East,3579
Rockhampton Surrounds - North,4732
Rockhampton Surrounds - West,3088
Shoalwater Bay,22
The Range - Allenstown,8025
Yeppoon,21178
Banana,8991
Biloela,5788
Agnes Water - Miriam Vale,7152
Boyne Island - Tannum Sands,10276
Callemondah,33
Clinton - New Auckland,14610
Gladstone,6300
Gladstone Hinterland,11848
Kin Kora - Sun Valley,3578
South Trees,0
Telina - Toolooa,6506
West Gladstone,4999
Broadbeach Waters,8366
Burleigh Heads,9284
Burleigh Waters,14682
Mermaid Beach - Broadbeach,14807
Mermaid Waters,13632
Miami,7681
Coolangatta,6681
Currumbin - Tugun,12655
Currumbin Waters,9847
Elanora,12782
Palm Beach,16860
Arundel,11492
Biggera Waters,10332
Coombabah,10450
Labrador,18980
Paradise Point - Hollywell,10227
Runaway Bay,9393
Guanaba - Springbrook,4506
Tamborine - Canungra,16138
Currumbin Valley - Tallebudgera,7851
Mudgeeraba - Bonogin,19990
Reedy Creek - Andrews,9085
Carrara,13466
Highland Park,8561
Nerang - Mount Nathan,21715
Pacific Pines - Gaven,18726
Worongary - Tallai,8703
Coomera,22021
Helensvale,19728
Hope Island,15661
Jacobs Well - Alberton,4943
Oxenford - Maudsland,18577
Ormeau (East) - Stapylton,11110
Ormeau (West) - Yatala,12309
Pimpama - North,11463
Pimpama - South,11595
Upper Coomera (South) - Wongawallan,11821
Upper Coomera - North,20944
Willow Vale - Pimpama (West),7585
Clear Island Waters,4440
Merrimac,7280
Varsity Lakes,17160
Robina - East,17234
Robina - West,9139
Ashmore,12549
Molendinar,6541
Parkwood,9000
Southport - North,18732
Southport - South,19326
Benowa,10094
Bundall,4934
Main Beach,4084
Surfers Paradise - North,12927
Surfers Paradise - South,15127
Darra - Sumner,4767
Durack,8434
Inala - Richlands,20431
Oxley (Qld),8827
Wacol,6430
Doolandella,9058
Forest Lake - Ellen Grove,23059
Boonah,12958
Esk,5132
Lake Manchester - England Creek,0
Lockyer Valley - East,22218
Lowood,14666
Rosewood,15068
Brassall,12542
Bundamba,9603
Churchill - Yamanto,6966
Ipswich - Central,6871
Ipswich - East,18361
Ipswich - North,4609
Karalee - Barellan Point,6992
Karana Downs,6161
Leichhardt - One Mile,8488
North Ipswich - Tivoli,6481
Raceview,15571
Ripley,15723
Riverview,3128
Camira - Gailes,9450
Carole Park,7
Collingwood Park - Redbank,12812
Goodna,11168
New Chum,3
Redbank Plains,26069
Springfield,7728
Springfield Lakes,25979
Augustine Heights - Brookwater,9414
Bellbird Park,9769
Beaudesert,15237
Beenleigh,8617
Eagleby,13762
Edens Landing - Holmview,10145
Mount Warren Park,5805
Wolffdene - Bahrs Scrub,10319
Boronia Heights - Park Ridge,21858
Browns Plains,8548
Chambers Flat - Logan Reserve,10720
Crestmead,12403
Greenbank Military Camp,0
Hillcrest,9214
Marsden,16590
Munruben - Park Ridge South,4484
Regents Park - Heritage Park,16377
Logan Village,9025
Flagstone (East) - Riverbend,6846
Flagstone (West) - New Beith,10943
Greenbank - North Maclean,8754
Jimboomba - Glenlogan,19280
Yarrabilba,12266
Bethania - Waterford,12645
Cornubia - Carbrook,9252
Loganholme - Tanah Merah,11963
Loganlea,12311
Shailer Park,12341
Waterford West,8055
Daisy Hill,7090
Kingston (Qld),10621
Logan Central,6415
Rochedale South - Priestdale,15628
Slacks Creek,10605
Springwood,9988
Underwood,6999
Woodridge,13188
Bowen,10306
Broadsound - Nebo,9014
Clermont,3943
Collinsville,3964
Moranbah,9789
Andergrove - Beaconsfield,16345
East Mackay,3808
Eimeo - Rural View,14093
Eungella Hinterland,9
Mackay,4129
Mackay Harbour,634
Mount Pleasant - Glenella,11882
North Mackay,6375
Ooralea - Bakers Creek,6170
Pioneer Valley,9171
Sarina,12140
Seaforth - Calen,8356
Shoal Point - Bucasia,6267
Slade Point,3571
South Mackay,6997
Walkerston - Eton,8547
West Mackay,6469
Airlie - Whitsundays,15108
Cape Conway,0
Proserpine,9128
Beachmere - Sandstone Point,17029
Bribie Island,21454
Burpengary - East,7538
Caboolture - South,24947
Elimbah,4473
Morayfield - East,12031
Wamuran,4320
Caboolture - East,18460
Caboolture - West,12813
Kilcoy,5909
Woodford - D`Aguilar,9627
Burpengary,17446
Deception Bay,23425
Morayfield,6193
Narangba,21864
Upper Caboolture,3406
Clontarf,8578
Margate - Woody Point,12240
Redcliffe,10621
Rothwell - Kippa-Ring,17684
Moreton Island,320
Scarborough - Newport,16184
Albany Creek,16807
Cashmere,20278
Dayboro,9574
Eatons Hill,7916
The Hills District,25046
Samford Valley,12704
Murrumba Downs - Griffin,24923
Dakabin,5610
Kallangur,22702
Mango Hill,16107
North Lakes,23709
Bray Park,10456
Lawnton,7417
Petrie,8839
Strathpine - Brendale,14356
Aurukun,1124
Cape York,8070
Croydon - Etheridge,988
Kowanyama - Pormpuraaw,1774
Northern Peninsula,2890
Tablelands,6289
Torres,3518
Torres Strait Islands,4286
Weipa,4215
Carpentaria,5115
Mount Isa,18652
Mount Isa Surrounds,4179
Northern Highlands,3158
Barcaldine - Blackall,4799
Charleville,3961
Far Central West,2193
Far South West,2759
Longreach,3721
Buderim - North,18593
Buderim - South,17959
Mountain Creek,12136
Sippy Downs,11990
Aroona - Currimundi,10128
Buddina - Minyama,7018
Caloundra - Kings Beach,6982
Golden Beach - Pelican Waters,13367
Moffat Beach - Battery Hill,8156
Parrearra - Warana,10746
Wurtulla - Birtinya,11174
Caloundra West - Baringa,17770
Meridan Plains - Little Mountain (North),14803
Coolum Beach,16408
Marcoola - Mudjimba,12153
Maroochydore - Kuluin,24184
Mooloolaba - Alexandra Headland,12665
Noosa Heads,5174
Noosaville,9356
Sunshine Beach,7045
Tewantin,10597
Peregian Beach - Marcus Beach,4189
Peregian Springs,11242
Beerwah,9522
Caloundra Hinterland,9257
Glass House Mountains,6775
Landsborough,17560
Maroochy Hinterland,6992
Palmwoods,12236
Bli Bli,11240
Diddillibah - Rosemount,4519
Eumundi - Yandina,12858
Nambour,23401
Noosa Hinterland,25023
Cambooya - Wyreema,8200
Darling Heights,15087
Drayton - Harristown,11126
Gatton,8129
Gowrie (Qld),7323
Highfields,15476
Lockyer Valley - West,12284
Middle Ridge,7849
Newtown (Qld),10297
North Toowoomba - Harlaxton,6518
Rangeville,8781
Toowoomba - Central,14224
Toowoomba - East,10698
Toowoomba - West,16722
Wilsonton,14485
Ayr,9077
Burdekin,7747
Charters Towers,8174
Dalrymple,3807
Ingham,4513
Ingham Surrounds,6576
Palm Island,2194
Aitkenvale,4798
Annandale (Qld),10290
Belgian Gardens - Pallarenda,3211
Bohle Plains,9195
Condon - Rasmussen,11080
Cranbrook,5901
Douglas,8060
Garbutt - West End,6392
Gulliver - Currajong - Vincent,7712
Heatley,3955
Hermit Park - Rosslea,5529
Hyde Park - Pimlico,4758
Kelso,11008
Kirwan - East,7816
Kirwan - West,15085
Magnetic Island,2540
Mount Louisa,10505
Mundingburra,3597
Northern Beaches,6755
Oonoonba,7402
South Townsville - Railway Estate,5407
Townsville - South,4995
Townsville City - North Ward,9310
Wulguru - Roseneath,6196
Burdell - Mount Low,20418
Deeragun - Jensen,6273
Ashfield - Kepnock,5790
Bargara - Burnett Heads,19935
Branyan - Kensington,5607
Bundaberg,6315
Bundaberg East - Kalkie,5910
Bundaberg North - Gooburrum,7625
Bundaberg Surrounds - North,9459
Bundaberg Surrounds - South,11273
Millbank - Avoca,7545
Svensson Heights - Norville,5932
Walkervale - Avenell Heights,11137
Gayndah - Mundubbera,6497
Gin Gin,5535
Kingaroy,10755
Kingaroy Surrounds - North,9739
Kingaroy Surrounds - South,4256
Monto - Eidsvold,3719
Nanango,10276
North Burnett,13
Cooloola,6777
Gympie - North,15234
Gympie - South,7909
Gympie Surrounds,21254
Kilkivan,3841
Booral - River Heads,6415
Craignish - Dundowran Beach,5863
Pialba - Eli Waters,16335
Point Vernon,5780
Torquay - Scarness - Kawungan,16100
Urangan - Wondunna,15539
Burrum - Fraser,11052
Granville,3105
Maryborough (Qld),18964
Maryborough Surrounds - South,10042
Tinana,5972
Adelaide,19187
North Adelaide,6954
Adelaide Hills,7091
Aldgate - Stirling,18449
Hahndorf - Echunga,4751
Lobethal - Woodside,9587
Mount Barker,23575
Mount Barker Surrounds,6997
Nairne,5501
Uraidla - Summertown,6183
Burnside - Wattle Park,19359
Beaumont - Glen Osmond,10456
Toorak Gardens,16879
Athelstone,9681
Paradise - Newton,22126
Rostrevor - Magill,24583
Norwood (SA),11033
Payneham - Felixstow,13279
St Peters - Marden,13693
Nailsworth - Broadview,6532
Prospect,16212
Walkerville,8182
Goodwood - Millswood,17848
Unley - Parkside,21234
Gawler - North,9764
Gawler - South,22720
Lewiston - Two Wells,7011
Craigmore - Blakeview,20654
Davoren Park,19043
Elizabeth,11061
Elizabeth East,14197
Munno Para West - Angle Vale,17932
One Tree Hill,2492
Smithfield - Elizabeth North,12657
Virginia - Waterloo Corner,6125
Enfield - Blair Athol,26600
Windsor Gardens,22972
Northgate - Northfield,18815
Valley View - Gilles Plains,10644
Dry Creek - North,0
Ingle Farm,15808
Para Hills,15222
Parafield,18
Parafield Gardens,18619
Paralowie,18095
Salisbury,18837
Salisbury East,18750
Salisbury North,18836
Mawson Lakes - Globe Derby Park,14284
Pooraka - Cavan,8166
Golden Grove,10510
Greenwith,9100
Highbury - Dernancourt,11337
Hope Valley - Modbury,17821
Modbury Heights,19450
Redwood Park,16542
St Agnes - Ridgehaven,13279
Brighton (SA),15342
Glenelg (SA),20856
Edwardstown,14836
Hallett Cove,12668
Marino - Seaview Downs,9821
Mitchell Park,16999
Morphettville,16946
Sheidow Park - Trott Park,10319
Warradale,16657
Belair,4916
Bellevue Heights,7754
Blackwood,13177
Colonel Light Gardens,15932
Mitcham (SA),16599
Panorama,8653
Aberfoyle Park,11899
Aldinga,16219
Christie Downs,9627
Christies Beach,11348
Clarendon,2787
Coromandel Valley,4545
Flagstaff Hill,10930
Hackham - Onkaparinga Hills,7098
Hackham West - Huntfield Heights,7916
Happy Valley,14066
Happy Valley Reservoir,0
Lonsdale,26
McLaren Vale,7741
Morphett Vale - East,13992
Morphett Vale - West,10318
Reynella,10455
Willunga,3661
Woodcroft,11670
Seaford - Seaford Meadows,14626
Seaford Rise - Moana,10958
Beverley,9182
Flinders Park,16877
Henley Beach,15916
Hindmarsh - Brompton,19772
Royal Park - Hendon - Albert Park,6647
Seaton - Grange,17721
West Lakes,15548
Woodville - Cheltenham,19778
Dry Creek - South,0
Largs Bay - Semaphore,15044
North Haven,15076
Port Adelaide,11879
The Parks,20203
Torrens Island,5
Adelaide Airport,3
Fulham,2982
Lockleys,13706
Plympton,27150
Richmond (SA),17409
West Beach,5242
Barossa - Angaston,6683
Light,10184
Lyndoch,6767
Mallala,3445
Nuriootpa,7463
Tanunda,4730
Clare,4191
Gilbert Valley,5122
Goyder,4154
Wakefield - Barunga West,9738
Jamestown,4701
Peterborough - Mount Remarkable,5436
Port Pirie,14201
Port Pirie Surrounds,3375
Kadina,5589
Moonta,5428
Wallaroo,4642
Yorke Peninsula - North,7656
Yorke Peninsula - South,4267
Ceduna,2809
Eyre Peninsula,7020
Kimba - Cleve - Franklin Harbour,4296
Le Hunte - Elliston,2173
Port Lincoln,16928
West Coast (SA),3796
Western,144
Whyalla,21800
Whyalla - North,0
APY Lands,2598
Coober Pedy,1574
Quorn - Lake Gilles,2185
Outback,2011
Port Augusta,14120
Roxby Downs,4102
Goolwa - Port Elliot,12994
Kangaroo Island,5088
Strathalbyn,8127
Strathalbyn Surrounds,8240
Victor Harbor,16435
Yankalilla,6676
Grant,6329
Kingston - Robe,3965
Millicent,5367
Naracoorte,6466
Naracoorte Surrounds,2451
Penola,3166
Tatiara,7038
Wattle Range,3560
Mount Gambier - East,15407
Mount Gambier - West,15028
Barmera,6543
Berri,4232
Karoonda - Lameroo,2959
Loxton,5729
Loxton Surrounds,1788
Mannum,6780
Murray Bridge,19067
Murray Bridge Surrounds,3838
Renmark,4791
Renmark Surrounds,5244
The Coorong,5578
Waikerie,6756
Augusta,7050
Busselton Surrounds,12674
Margaret River,10848
Busselton - East,9759
Busselton - West,20361
Australind - Leschenault,20359
Capel,5692
College Grove - Carey Park,7309
Collie,9150
Dardanup,3440
Davenport,11
Eaton - Pelican Point,12895
Harvey,9788
East Bunbury - Glen Iris,7514
Waroona,4399
Dalyellup,10264
Gelorup - Stratham,3163
South Bunbury - Bunbury,13217
Withers - Usher,5377
Bridgetown - Boyup Brook,7464
Donnybrook - Balingup,6398
Manjimup,5628
Pemberton,5377
Dawesville - Bouvard,9063
Falcon - Wannanup,10173
Greenfields,10284
Halls Head - Erskine,20985
Mandurah,10754
Mandurah - East,6991
Mandurah - North,22876
Mandurah - South,11950
Pinjarra,10845
City Beach,7025
Claremont (WA),9631
Cottesloe,8081
Floreat,9002
Mosman Park - Peppermint Grove,11241
Nedlands - Dalkeith - Crawley,19700
Swanbourne - Mount Claremont,10013
Kings Park (WA),50
Mount Hawthorn - Leederville,12417
Mount Lawley - Inglewood,17562
North Perth,10149
Subiaco - Shenton Park,18378
Wembley - West Leederville - Glendalough,19762
East Perth,12605
Perth (North) - Highgate,12115
Perth (West) - Northbridge,13089
Bassendean - Eden Hill - Ashfield,16600
Bayswater - Embleton - Bedford,25540
Maylands,13828
Morley,23728
Noranda,8295
Chidlow,4744
Glen Forrest - Darlington,7453
Helena Valley - Koongamia,6088
Malmalling - Reservoir,11
Mundaring,13804
Swan View - Greenmount - Midvale,13501
Avon Valley National Park,7
Ballajura,19196
Beechboro,23165
Bullsbrook,6029
Gidgegannup,2939
Hazelmere - Guildford,5917
Lockridge - Kiara,13363
Malaga,23
Melaleuca - Lexia,0
Middle Swan - Herne Hill,5931
Midland - Guildford,11520
Stratton - Jane Brook,7307
The Vines,13355
Walyunga National Park,0
Aveley,16995
Brabham - Henley Brook,12806
Ellenbrook,20086
Craigie - Beldon,10962
Currambine - Kinross,14260
Duncraig,16543
Greenwood - Warwick,14180
Heathridge - Connolly,11016
Hillarys,11518
Iluka - Burns Beach,10220
Joondalup - Edgewater,14337
Kingsley,13573
Mullaloo - Kallaroo,11987
Ocean Reef,8384
Padbury,8949
Sorrento - Marmion,10496
Woodvale,9889
Balcatta - Hamersley,16714
Balga - Mirrabooka,21954
Herdsman,0
Innaloo - Doubleview,19315
Karrinyup - Gwelup - Carine,23641
Nollamara - Westminster,20755
Osborne Park Industrial,250
Scarborough,18367
Stirling - Osborne Park,15247
Trigg - North Beach - Watermans Bay,8295
Tuart Hill - Joondanna,13319
Wembley Downs - Churchlands - Woodlands,15638
Yokine - Coolbinia - Menora,17746
Dianella - North,12409
Dianella - South,13530
Alexander Heights - Koondoola,11984
Butler - Merriwa - Ridgewood,24812
Carramar,19858
Clarkson,14565
Girrawheen,9450
Marangaroo,10707
Mindarie - Quinns Rocks - Jindalee,21934
Neerabup National Park,4
Tapping - Ashby - Sinagra,14142
Alkimos - Eglinton,15879
Carabooda - Pinjar,754
Two Rocks,4153
Yanchep,11805
Hocking - Pearsall,13884
Landsdale,16431
Madeley - Darch,14701
Wanneroo - Sinagra,15271
Armadale - Wungong - Brookdale,25146
Ashendon - Lesley,3
Camillo - Champion Lakes,6161
Kelmscott,10938
Mount Nasura - Mount Richon - Bedfordale,8621
Roleystone,7508
Seville Grove,12042
Harrisdale,12538
Piara Waters - Forrestdale,17811
Belmont - Ascot - Redcliffe,15797
East Victoria Park - Carlisle,18063
Kewdale Commercial,0
Perth Airport,23
Victoria Park - Lathlain - Burswood,16700
Cloverdale,9242
Kewdale,7702
Rivervale,11539
Bentley - Wilson - St James,21489
Canning Vale - West,10343
Canning Vale Commercial,5
Cannington - Queens Park,21772
Parkwood - Ferndale - Lynwood,14431
Riverton - Shelley - Rossmoyne,14965
Welshpool,15
Willetton,19975
Beckenham - Kenwick - Langford,21198
Canning Vale - East,25465
Gosnells,22365
Huntingdale - Southern River,23408
Maddington - Orange Grove - Martin,15830
Thornlie,24649
Forrestfield - Wattle Grove,20913
High Wycombe,12693
Kalamunda - Maida Vale - Gooseberry Hill,15658
Lesmurdie - Bickley - Carmel,11992
Byford,22531
Mundijong,7553
Serpentine - Jarrahdale,4749
Como,15102
Manning - Waterford,12113
South Perth - Kensington,17965
Banjup,23529
Bibra Industrial,21
Bibra Lake,0
Coogee,10235
Coolbellup,8864
Hamilton Hill,11887
Henderson,9
North Coogee,4104
South Lake - Cockburn Central,12245
Spearwood,11804
Success - Hammond Park,18767
Yangebup,7954
Beeliar - Wattleup,10904
Jandakot,2530
East Fremantle,8064
Fremantle,17848
Fremantle - South,16045
O`Connor (WA),7
Wellard (West) - Bertram,19643
Calista,7697
Hope Valley - Postans,80
Kwinana Industrial,25
Parmelia - Orelia,11795
Casuarina - Wandi,10260
Applecross - Ardross,12153
Bateman,3923
Bicton - Palmyra,15331
Booragoon,16177
Bull Creek,8256
Leeming,11169
Melville,18095
Murdoch - Kardinya,12877
Willagee,5742
Winthrop,6204
Cooloongup,8811
Port Kennedy,13954
Rockingham,17403
Rockingham Lakes,3
Safety Bay - Shoalwater,12558
Singleton - Golden Bay - Secret Harbour,23683
Waikiki,13037
Warnbro,11229
Baldivis - North,12958
Baldivis - South,27744
Karnup,2273
Albany,15406
Albany Surrounds,3857
Bayonet Head - Lower King,5443
Denmark,6537
Gnowangerup,2964
Katanning,4703
Kojonup,4202
Little Grove - Elleker,3812
McKail - Willyung,11898
Plantagenet,5586
Stirling Range National Park,0
Chittering,6296
Cunderdin,3909
Dowerin,3914
Gingin - Dandaragan,9463
Merredin,5073
Moora,4628
Mukinbudin,3063
Northam,11934
Toodyay,4812
York - Beverley,5305
Brookton,3592
Kulin,4336
Murray,2454
Narrogin,4534
Wagin,5010
Broome,15774
Derby - West Kimberley,8370
Halls Creek,4138
Kununurra,8057
Roebuck,2586
East Pilbara,6211
Newman,4505
Port Hedland,4467
South Hedland,12136
Ashburton (WA),7834
Karratha,18239
Roebourne,5548
Esperance,12543
Esperance Surrounds,4157
Carnarvon,5146
Exmouth,4953
Boulder,7523
Kalgoorlie,13732
Kalgoorlie - North,9204
Kalgoorlie Airport,0
Kambalda - Coolgardie - Norseman,4597
Leinster - Leonora,5203
Trafalgar (WA),0
Geraldton,12395
Geraldton - East,8227
Geraldton - North,9163
Geraldton - South,10863
Irwin,3794
Meekatharra,3388
Morawa,3993
Northampton - Mullewa - Greenough,5824
Bridgewater - Gagebrook,8431
Brighton - Pontville,6756
Old Beach - Otago,5117
Bellerive - Rosny,6562
Cambridge,8788
Geilston Bay - Risdon,3544
Howrah - Tranmere,11984
Lindisfarne - Rose Bay,7879
Mornington - Warrane,5228
Risdon Vale,3587
Rokeby,8441
South Arm,4637
Austins Ferry - Granton,4445
Berriedale - Chigwell,5810
Claremont (Tas.),8489
Derwent Park - Lutana,4713
Glenorchy,12512
Montrose - Rosetta,5161
Moonah,5767
New Norfolk,7464
West Moonah,4414
Kingston - Huntingfield,13908
Kingston Beach - Blackmans Bay,11255
Margate - Snug,8610
Mount Wellington,0
Taroona - Bonnet Hill,3615
Hobart,9187
Lenah Valley - Mount Stuart,9137
Mount Nelson - Dynnyrne,5147
New Town,6694
Sandy Bay,12626
South Hobart - Fern Tree,6825
West Hobart,6458
Dodges Ferry - Lewisham,8871
Sorell - Richmond,10391
Invermay,3571
Kings Meadows - Punchbowl,5057
Launceston,5490
Legana,5005
Mowbray,4174
Newnham - Mayfield,9997
Newstead,5570
Norwood (Tas.),4087
Prospect Vale - Blackstone,6930
Ravenswood,3959
Riverside,7502
South Launceston,4961
Summerhill - Prospect,5079
Trevallyn,4900
Waverley - St Leonards,4065
West Launceston,4247
Youngtown - Relbia,5112
Beauty Point - Beaconsfield,4158
Deloraine,6265
Grindelwald - Lanena,6291
Hadspen - Carrick,3741
Westbury,4556
Dilston - Lilydale,4495
George Town,7363
Longford,4557
Northern Midlands,3799
Perth - Evandale,5649
St Helens - Scamander,7003
Flinders and Cape Barren Islands,931
Scottsdale - Bridport,7019
Central Highlands,2492
Derwent Valley,3444
Southern Midlands,6895
Wilderness - East,7
Bruny Island - Kettering,3567
Cygnet,4997
Geeveston - Dover,4228
Huonville - Franklin,9986
Forestier - Tasman,2676
Triabunna - Bicheno,5172
Acton - Upper Burnie,3392
Burnie - Ulverstone Surrounds,5300
Burnie - Wivenhoe,3856
Parklands - Camdale,6965
Penguin - Sulphur Creek,5537
Romaine - Havenview,3663
Somerset,4179
Ulverstone,7269
West Ulverstone,4631
Wynyard,6577
Devonport,14917
East Devonport,5225
Latrobe,5603
Miandetta - Don,3759
Port Sorell,6742
Quoiba - Spreyton,3232
Sheffield - Railton,6812
Turners Beach - Forth,3578
King Island,1675
North West,4349
Smithton,4018
Waratah,3933
West Coast (Tas.),4351
Wilderness - West,0
Darwin Airport,20
Darwin City,7501
East Point,0
Fannie Bay - The Gardens,3793
Larrakeyah,4206
Ludmilla - The Narrows,2725
Parap,2900
Stuart Park,4309
Woolner - Bayview - Winnellie,2949
Alawa,2162
Anula,2492
Berrimah,1958
Brinkin - Nakara,3506
Buffalo Creek,0
Charles Darwin,3
Coconut Grove,3019
East Arm,23
Jingili,1914
Karama,5079
Leanyer,4905
Lyons (NT),6575
Malak - Marrara,4639
Millner,2676
Moil,2084
Nightcliff,4066
Rapid Creek,3381
Tiwi,2608
Wagaman,2076
Wanguri,1925
Wulagi,2671
Howard Springs,5619
Humpty Doo,8992
Koolpinyah,14
Virginia,3432
Weddell,4585
Bakewell,3279
Driver,2882
Durack - Marlow Lagoon,4829
Gray,3372
Moulden,3272
Palmerston - North,4750
Palmerston - South,7591
Rosebery - Bellamack,6965
Woodroffe,3380
Charles,4647
East Side,6082
Flynn (NT),5085
Larapinta,5537
Mount Johns,4478
Petermann - Simpson,2205
Ross,3026
Sandover - Plenty,4511
Tanami,3316
Yuendumu - Anmatjere,2091
Barkly,2521
Tennant Creek,3504
Alligator,4681
Daly,2176
Thamarrurr,2446
Tiwi Islands,2745
West Arnhem,6080
Anindilyakwa,2918
East Arnhem,8042
Nhulunbuy,3642
Elsey,2619
Gulf,4844
Katherine,10850
Victoria River,3046
Aranda,2557
Belconnen,8800
Bruce,7572
Charnwood,3008
Cook,2894
Dunlop,7299
Evatt,5452
Florey,4695
Flynn (ACT),3650
Fraser,2104
Giralang,3303
Gooromon,4
Hawker,2988
Higgins,3276
Holt,5728
Kaleen,7597
Latham,3748
Lawson,2813
Macgregor (ACT),6971
Macquarie,3059
McKellar,2686
Melba,3322
Page,2982
Scullin,3080
Spence,2525
Weetangera,2788
Molonglo Corridor,16
Macnamara,0
Strathnairn,1048
West Belconnen,22
Hume,394
Kowen,23
Canberra East,1137
Canberra Airport,128
Majura,287
Amaroo,6053
Bonner,7363
Casey,6521
Crace,4747
Forde,4434
Franklin,7440
Gungahlin,8739
Hall,292
Harrison,8116
Mitchell,8
Ngunnawal,10987
Nicholls,6563
Palmerston,5466
